repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
freeCodeCamp/freeCodeCamp,GraphQL,2820.941399986623,27594,1,4975,4974.0,1.0,1.0,2025-11-27T19:06:50Z,success,
DigitalPlatDev/FreeDomain,REST,18826.574500038987,359151,13,4618,4606.0,12.0,,1764267693,success,
open-webui/open-webui,REST,22207.87870005006,1919104,16,4606,4591.0,15.0,,1764267693,success,
codecrafters-io/build-your-own-x,REST,22980.72189989034,1510056,16,4591,4576.0,15.0,,1764267693,success,
kubernetes/kubernetes,GraphQL,3021.198100002948,29776,1,4974,4973.0,1.0,1.0,2025-11-27T19:06:50Z,success,
flutter/flutter,GraphQL,2467.365799995605,32693,1,4973,4972.0,1.0,1.0,2025-11-27T19:06:50Z,success,
facebook/react-native,GraphQL,2841.550000011921,29793,1,4972,4971.0,1.0,1.0,2025-11-27T19:06:50Z,success,
facebook/react-native,REST,21755.80420004553,1689728,16,5000,4985.0,15.0,,1764271296,success,
ytdl-org/youtube-dl,REST,23140.37640002789,1634363,16,4985,4970.0,15.0,,1764271296,success,
Significant-Gravitas/AutoGPT,REST,22326.240499998676,2423957,16,4970,4955.0,15.0,,1764271296,success,
ollama/ollama,GraphQL,2940.7771000114735,25534,1,4971,4970.0,1.0,1.0,2025-11-27T19:06:50Z,success,
n8n-io/n8n,GraphQL,2609.280000004219,28927,1,4970,4969.0,1.0,1.0,2025-11-27T19:06:50Z,success,
getify/You-Dont-Know-JS,GraphQL,1693.8191000081133,10091,1,4969,4968.0,1.0,1.0,2025-11-27T19:06:50Z,success,
labuladong/fucking-algorithm,GraphQL,1728.1023999967147,10032,1,4968,4967.0,1.0,1.0,2025-11-27T19:06:50Z,success,
langchain-ai/langchain,REST,21515.23969997652,1853518,16,4955,4940.0,15.0,,1764271296,success,
microsoft/PowerToys,GraphQL,2818.868800008204,27971,1,4967,4966.0,1.0,1.0,2025-11-27T19:06:50Z,success,
twbs/bootstrap,REST,22445.116100017913,1724209,16,4940,4925.0,15.0,,1764271296,success,
ossu/computer-science,REST,17252.680999954464,489440,12,4925,4914.0,11.0,,1764271296,success,
denoland/deno,GraphQL,3084.4552000053227,25115,1,4966,4965.0,1.0,1.0,2025-11-27T19:06:50Z,success,
huggingface/transformers,REST,24164.032300002873,1754715,16,4914,4899.0,15.0,,1764271296,success,
donnemartin/system-design-primer,REST,25357.723000022816,1538521,16,4899,4884.0,15.0,,1764271296,success,
trekhleb/javascript-algorithms,GraphQL,2470.1831999991555,23270,1,4965,4964.0,1.0,1.0,2025-11-27T19:06:50Z,success,
langflow-ai/langflow,REST,26573.035600129515,2191882,16,4884,4869.0,15.0,,1764271296,success,
krahets/hello-algo,REST,27710.796399915125,633682,16,4869,4854.0,15.0,,1764271296,success,
torvalds/linux,GraphQL,3874.453199998243,10716,1,4964,4963.0,1.0,1.0,2025-11-27T19:06:50Z,success,
langgenius/dify,GraphQL,3212.6355999789666,26609,1,4963,4962.0,1.0,1.0,2025-11-27T19:06:50Z,success,
labuladong/fucking-algorithm,REST,9645.543600025121,242356,6,4854,4849.0,5.0,,1764271296,success,
mrdoob/three.js,REST,28169.358199986164,1521570,16,4849,4834.0,15.0,,1764271296,success,
donnemartin/system-design-primer,GraphQL,2793.997299973853,23732,1,4962,4961.0,1.0,1.0,2025-11-27T19:06:50Z,success,
vercel/next.js,REST,22125.691200053552,1648993,16,4834,4819.0,15.0,,1764271296,success,
nodejs/node,REST,22282.154799904674,1683424,16,4819,4804.0,15.0,,1764271296,success,
kamranahmedse/developer-roadmap,REST,9976.350600016303,546743,7,4804,4798.0,6.0,,1764271296,success,
axios/axios,REST,25224.319800036028,1740106,16,4798,4783.0,15.0,,1764271296,success,
torvalds/linux,REST,10207.947199989576,247358,6,4783,,,,1764271296,error,403 Client Error: Forbidden for url: https://api.github.com/repos/torvalds/linux/contributors?per_page=20&page=1
electron/electron,GraphQL,2370.476799987955,30960,1,4961,4960.0,1.0,1.0,2025-11-27T19:06:50Z,success,
ossu/computer-science,GraphQL,2326.274999999441,15474,1,4960,4959.0,1.0,1.0,2025-11-27T19:06:50Z,success,
avelino/awesome-go,GraphQL,3184.429800021462,14136,1,4959,4958.0,1.0,1.0,2025-11-27T19:06:50Z,success,
n8n-io/n8n,REST,22011.840400024084,1742146,16,4778,4763.0,15.0,,1764271296,success,
vuejs/vue,REST,21574.24339998397,1469237,16,4763,4748.0,15.0,,1764271296,success,
Chalarangelo/30-seconds-of-code,REST,7502.685599989491,301076,6,4748,4743.0,5.0,,1764271296,success,
ripienaar/free-for-dev,REST,13850.77469990938,403911,11,4743,4733.0,10.0,,1764271296,success,
kamranahmedse/developer-roadmap,GraphQL,2599.8214000137523,25110,1,4958,4957.0,1.0,1.0,2025-11-27T19:06:50Z,success,
jwasham/coding-interview-university,GraphQL,2323.508800007403,21666,1,4957,4956.0,1.0,1.0,2025-11-27T19:06:50Z,success,
axios/axios,GraphQL,2230.838000017684,25015,1,4956,4955.0,1.0,1.0,2025-11-27T19:06:50Z,success,
vinta/awesome-python,REST,22134.726399934152,1471084,16,4733,4718.0,15.0,,1764271296,success,
codecrafters-io/build-your-own-x,GraphQL,2018.2971000031102,22711,1,4955,4954.0,1.0,1.0,2025-11-27T19:06:50Z,success,
Genymobile/scrcpy,REST,22511.504500027513,1406571,16,4718,4703.0,15.0,,1764271296,success,
golang/go,GraphQL,2394.7168000158854,27743,1,4954,4953.0,1.0,1.0,2025-11-27T19:06:50Z,success,
tensorflow/tensorflow,GraphQL,3067.7812000212725,28906,1,4953,4952.0,1.0,1.0,2025-11-27T19:06:50Z,success,
electron/electron,REST,23179.458399972646,1798734,16,4703,4688.0,15.0,,1764271296,success,
sindresorhus/awesome,GraphQL,2321.509800007334,15249,1,4952,4951.0,1.0,1.0,2025-11-27T19:06:50Z,success,
justjavac/free-programming-books-zh_CN,REST,20834.265000012238,890642,16,4688,4673.0,15.0,,1764271296,success,
jwasham/coding-interview-university,REST,21323.179999861168,784868,16,4673,4658.0,15.0,,1764271296,success,
Genymobile/scrcpy,GraphQL,2253.0407999875024,22359,1,4951,4950.0,1.0,1.0,2025-11-27T19:06:50Z,success,
excalidraw/excalidraw,GraphQL,2265.3755000210367,24026,1,4950,4949.0,1.0,1.0,2025-11-27T19:06:50Z,success,
microsoft/TypeScript,REST,22499.458500009496,1758916,16,4658,4643.0,15.0,,1764271296,success,
massgravel/Microsoft-Activation-Scripts,GraphQL,1698.992099991301,9428,1,4949,4948.0,1.0,1.0,2025-11-27T19:06:50Z,success,
jackfrued/Python-100-Days,REST,21863.26499999268,1325021,16,4643,4628.0,15.0,,1764271296,success,
public-apis/public-apis,REST,21850.549200054957,1515135,16,4628,4613.0,15.0,,1764271296,success,
github/gitignore,GraphQL,2181.3515000103507,11666,1,4948,4947.0,1.0,1.0,2025-11-27T19:06:50Z,success,
practical-tutorials/project-based-learning,REST,21890.87510004174,1639848,16,4613,4598.0,15.0,,1764271296,success,
jlevy/the-art-of-command-line,REST,21749.310100072762,1413893,16,4598,4583.0,15.0,,1764271296,success,
facebook/react,GraphQL,2323.4585000027437,28482,1,4947,4946.0,1.0,1.0,2025-11-27T19:06:50Z,success,
EbookFoundation/free-programming-books,GraphQL,2734.991400007857,20733,1,4946,4945.0,1.0,1.0,2025-11-27T19:06:50Z,success,
langchain-ai/langchain,GraphQL,2492.541599989636,27889,1,4945,4944.0,1.0,1.0,2025-11-27T19:06:50Z,success,
TheAlgorithms/Python,GraphQL,3061.2458999967203,26803,1,4944,4943.0,1.0,1.0,2025-11-27T19:06:50Z,success,
CyC2018/CS-Notes,REST,21672.194899991155,1277249,16,4583,4568.0,15.0,,1764271296,success,
justjavac/free-programming-books-zh_CN,GraphQL,2131.3709000241943,11735,1,4943,4942.0,1.0,1.0,2025-11-27T19:06:50Z,success,
Chalarangelo/30-seconds-of-code,GraphQL,1988.2723999908194,11065,1,4942,4941.0,1.0,1.0,2025-11-27T19:06:50Z,success,
521xueweihan/HelloGitHub,REST,8891.898299974855,676672,7,4568,4562.0,6.0,,1764271296,success,
getify/You-Dont-Know-JS,REST,10074.23619995825,300144,8,4562,4555.0,7.0,,1764271296,success,
huggingface/transformers,GraphQL,3079.79059999343,25756,1,4941,4940.0,1.0,1.0,2025-11-27T19:06:50Z,success,
996icu/996.ICU,GraphQL,1899.6230000047944,10396,1,4940,4939.0,1.0,1.0,2025-11-27T19:06:50Z,success,
ohmyzsh/ohmyzsh,REST,23126.054999884218,1689202,16,4555,4539.0,16.0,,1764271296,success,
ohmyzsh/ohmyzsh,GraphQL,2465.079899993725,26581,1,4939,4938.0,1.0,1.0,2025-11-27T19:06:50Z,success,
awesome-selfhosted/awesome-selfhosted,REST,7421.260399947641,251586,6,4539,4534.0,5.0,,1764271296,success,
microsoft/vscode,GraphQL,3491.8556999764405,26177,1,4938,4937.0,1.0,1.0,2025-11-27T19:06:50Z,success,
facebook/react,REST,22443.218500033254,1639288,16,4534,4519.0,15.0,,1764271296,success,
awesome-selfhosted/awesome-selfhosted,GraphQL,1713.0148000142071,9760,1,4937,4936.0,1.0,1.0,2025-11-27T19:06:50Z,success,
yangshun/tech-interview-handbook,GraphQL,2478.122800006531,20012,1,4936,4935.0,1.0,1.0,2025-11-27T19:06:50Z,success,
Significant-Gravitas/AutoGPT,GraphQL,2233.689199987566,26671,1,4935,4934.0,1.0,1.0,2025-11-27T19:06:50Z,success,
f/awesome-chatgpt-prompts,REST,21373.91590003972,1501960,16,4519,4504.0,15.0,,1764271296,success,
521xueweihan/HelloGitHub,GraphQL,1712.3061000020243,23360,1,4934,4933.0,1.0,1.0,2025-11-27T19:06:50Z,success,
TheAlgorithms/Python,REST,22322.490799997468,1640063,16,4504,4489.0,15.0,,1764271296,success,
vuejs/vue,GraphQL,5046.85809998773,24110,1,4933,4932.0,1.0,1.0,2025-11-27T19:06:50Z,success,
trimstray/the-book-of-secret-knowledge,GraphQL,2250.4961999948137,14595,1,4932,4931.0,1.0,1.0,2025-11-27T19:06:50Z,success,
massgravel/Microsoft-Activation-Scripts,REST,7003.153799974825,231396,6,4489,4484.0,5.0,,1764271296,success,
kubernetes/kubernetes,REST,23596.907400002237,2237441,16,4484,4469.0,15.0,,1764271296,success,
microsoft/TypeScript,GraphQL,2273.784599994542,28580,1,4931,4930.0,1.0,1.0,2025-11-27T19:06:50Z,success,
