repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
yt-dlp/yt-dlp,GraphQL,2446.9716000021435,25980,1,5000,4999.0,1.0,1.0,2025-11-27T19:06:50Z,success,
AUTOMATIC1111/stable-diffusion-webui,GraphQL,2262.20190001186,25555,1,4999,4998.0,1.0,1.0,2025-11-27T19:06:50Z,success,
jackfrued/Python-100-Days,GraphQL,1878.233099996578,20867,1,4998,4997.0,1.0,1.0,2025-11-27T19:06:50Z,success,
jlevy/the-art-of-command-line,GraphQL,2950.80030002282,21659,1,4997,4996.0,1.0,1.0,2025-11-27T19:06:50Z,success,
krahets/hello-algo,GraphQL,2668.241500010481,15019,1,4996,4995.0,1.0,1.0,2025-11-27T19:06:50Z,success,
langgenius/dify,REST,24792.950699978974,1750960,16,4993,4978.0,15.0,,1764267693,success,
airbnb/javascript,GraphQL,2331.1026000010315,24781,1,4995,4994.0,1.0,1.0,2025-11-27T19:06:50Z,success,
d3/d3,GraphQL,2085.3043999813963,13927,1,4994,4993.0,1.0,1.0,2025-11-27T19:06:50Z,success,
DigitalPlatDev/FreeDomain,GraphQL,2179.5571999973617,10874,1,4993,4992.0,1.0,1.0,2025-11-27T19:06:50Z,success,
open-webui/open-webui,GraphQL,2459.244600002421,25052,1,4992,4991.0,1.0,1.0,2025-11-27T19:06:50Z,success,
mrdoob/three.js,GraphQL,4164.621100004297,25017,1,4991,4990.0,1.0,1.0,2025-11-27T19:06:50Z,success,
EbookFoundation/free-programming-books,REST,23037.81989996787,1756724,16,4978,4963.0,15.0,,1764267693,success,
d3/d3,REST,22241.716900025494,606161,16,4963,4948.0,15.0,,1764267693,success,
tensorflow/tensorflow,REST,25011.230500007514,1492968,16,4948,4933.0,15.0,,1764267693,success,
avelino/awesome-go,REST,24782.141500065336,1762547,16,4933,4918.0,15.0,,1764267693,success,
rust-lang/rust,REST,23838.38829997694,1746415,16,4918,4903.0,15.0,,1764267693,success,
golang/go,REST,28615.02230001497,1515051,16,4903,4888.0,15.0,,1764267693,success,
f/awesome-chatgpt-prompts,GraphQL,2031.8203000060748,12131,1,4990,4989.0,1.0,1.0,2025-11-27T19:06:50Z,success,
ollama/ollama,REST,24574.661999940872,1630000,16,4888,4873.0,15.0,,1764267693,success,
CyC2018/CS-Notes,GraphQL,2155.295600008685,21533,1,4989,4988.0,1.0,1.0,2025-11-27T19:06:50Z,success,
denoland/deno,REST,25766.614599939203,1551414,16,4873,4858.0,15.0,,1764267693,success,
microsoft/vscode,REST,24201.899499981664,1847176,16,4858,4843.0,15.0,,1764267693,success,
facebook/create-react-app,GraphQL,2329.976099979831,24531,1,4988,4987.0,1.0,1.0,2025-11-27T19:06:50Z,success,
github/gitignore,REST,22325.384099967778,1518392,16,4843,4828.0,15.0,,1764267693,success,
vinta/awesome-python,GraphQL,2250.174100016011,12007,1,4987,4986.0,1.0,1.0,2025-11-27T19:06:50Z,success,
goldbergyoni/nodebestpractices,GraphQL,4098.134499974549,19900,1,4986,4985.0,1.0,1.0,2025-11-27T19:06:50Z,success,
ytdl-org/youtube-dl,GraphQL,3147.4416999844834,23405,1,4985,4984.0,1.0,1.0,2025-11-27T19:06:50Z,success,
goldbergyoni/nodebestpractices,REST,21288.70020012255,1158991,16,4828,4813.0,15.0,,1764267693,success,
airbnb/javascript,REST,23767.028300033417,1416567,16,4813,4798.0,15.0,,1764267693,success,
nodejs/node,GraphQL,2788.8582999876235,26774,1,4984,4983.0,1.0,1.0,2025-11-27T19:06:50Z,success,
twbs/bootstrap,GraphQL,2131.4973999978974,26600,1,4983,4982.0,1.0,1.0,2025-11-27T19:06:50Z,success,
flutter/flutter,REST,24340.65560004092,1975129,16,4798,4783.0,15.0,,1764267693,success,
langflow-ai/langflow,GraphQL,2459.5842999988236,25981,1,4982,4981.0,1.0,1.0,2025-11-27T19:06:50Z,success,
excalidraw/excalidraw,REST,23027.368699928047,1653296,16,4783,4768.0,15.0,,1764267693,success,
trimstray/the-book-of-secret-knowledge,REST,23242.664200020954,1632843,16,4768,4753.0,15.0,,1764267693,success,
trekhleb/javascript-algorithms,REST,22105.497099953936,1486649,16,4753,4738.0,15.0,,1764267693,success,
yt-dlp/yt-dlp,REST,22354.83780008508,1921174,16,4738,4723.0,15.0,,1764267693,success,
ripienaar/free-for-dev,GraphQL,2063.618799991673,10810,1,4981,4980.0,1.0,1.0,2025-11-27T19:06:50Z,success,
Snailclimb/JavaGuide,REST,10614.132300019264,491532,7,4723,4717.0,6.0,,1764267693,success,
public-apis/public-apis,GraphQL,2282.2674000053667,15147,1,4980,4979.0,1.0,1.0,2025-11-27T19:06:50Z,success,
996icu/996.ICU,REST,13112.274200015236,327666,10,4717,4708.0,9.0,,1764267693,success,
sindresorhus/awesome,REST,22500.652899994748,1582342,16,4708,4693.0,15.0,,1764267693,success,
yangshun/tech-interview-handbook,REST,21145.6355000264,664999,16,4693,4678.0,15.0,,1764267693,success,
practical-tutorials/project-based-learning,GraphQL,2706.6079000069294,21289,1,4979,4978.0,1.0,1.0,2025-11-27T19:06:50Z,success,
AUTOMATIC1111/stable-diffusion-webui,REST,22348.491299984744,2078519,16,4678,4663.0,15.0,,1764267693,success,
rust-lang/rust,GraphQL,2916.6029000189155,30845,1,4978,4977.0,1.0,1.0,2025-11-27T19:06:50Z,success,
vercel/next.js,GraphQL,2422.9828999959864,27754,1,4977,4976.0,1.0,1.0,2025-11-27T19:06:50Z,success,
freeCodeCamp/freeCodeCamp,REST,23069.170400034636,1716629,16,4663,4648.0,15.0,,1764267693,success,
Snailclimb/JavaGuide,GraphQL,2054.432499979157,22783,1,4976,4975.0,1.0,1.0,2025-11-27T19:06:50Z,success,
microsoft/PowerToys,REST,25393.2498000504,2007779,16,4648,4633.0,15.0,,1764267693,success,
facebook/create-react-app,REST,22507.032900000922,1576161,16,4633,4618.0,15.0,,1764267693,success,
