repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
521xueweihan/HelloGitHub,REST,12317.502400022931,676672,7,4822,4816.0,6.0,,1764263675,success,
codecrafters-io/build-your-own-x,REST,31680.87290006224,1510056,16,4816,4801.0,15.0,,1764263675,success,
krahets/hello-algo,REST,27797.261699975934,633682,16,4801,4786.0,15.0,,1764263675,success,
torvalds/linux,REST,9469.082599971443,247358,6,4786,,,,1764263675,error,403 Client Error: Forbidden for url: https://api.github.com/repos/torvalds/linux/contributors?per_page=20&page=1
Chalarangelo/30-seconds-of-code,GraphQL,2148.335700010648,11065,1,4966,4965.0,1.0,1.0,2025-11-27T17:14:35Z,success,
EbookFoundation/free-programming-books,GraphQL,3478.260500007309,20733,1,4965,4964.0,1.0,1.0,2025-11-27T17:14:35Z,success,
justjavac/free-programming-books-zh_CN,REST,25578.983299987158,890642,16,4781,4766.0,15.0,,1764263675,success,
jackfrued/Python-100-Days,REST,29317.86190002458,1325021,16,4766,4751.0,15.0,,1764263675,success,
getify/You-Dont-Know-JS,GraphQL,2198.242800019216,10091,1,4964,4963.0,1.0,1.0,2025-11-27T17:14:35Z,success,
Genymobile/scrcpy,GraphQL,2802.0377999928314,22355,1,4963,4962.0,1.0,1.0,2025-11-27T17:14:35Z,success,
jlevy/the-art-of-command-line,GraphQL,3181.4708999881987,21659,1,4962,4961.0,1.0,1.0,2025-11-27T17:14:35Z,success,
CyC2018/CS-Notes,GraphQL,3096.00250000949,21533,1,4961,4960.0,1.0,1.0,2025-11-27T17:14:35Z,success,
codecrafters-io/build-your-own-x,GraphQL,2735.992300004,22711,1,4960,4959.0,1.0,1.0,2025-11-27T17:14:35Z,success,
yangshun/tech-interview-handbook,GraphQL,2591.512600018177,20012,1,4959,4958.0,1.0,1.0,2025-11-27T17:14:35Z,success,
avelino/awesome-go,REST,37385.06819997565,1762547,16,4751,4736.0,15.0,,1764263675,success,
ytdl-org/youtube-dl,REST,37015.76839989866,1634363,16,4736,4721.0,15.0,,1764263675,success,
trimstray/the-book-of-secret-knowledge,GraphQL,2965.9151999803726,14595,1,4958,4957.0,1.0,1.0,2025-11-27T17:14:35Z,success,
jwasham/coding-interview-university,REST,30550.16280009295,784868,16,4721,4706.0,15.0,,1764263675,success,
golang/go,REST,32744.305000000168,1514782,16,4706,4691.0,15.0,,1764263675,success,
DigitalPlatDev/FreeDomain,REST,25090.055699984077,359151,13,4691,4678.0,13.0,,1764263675,success,
trekhleb/javascript-algorithms,REST,31510.02520005568,1486649,16,4678,4663.0,15.0,,1764263675,success,
jackfrued/Python-100-Days,GraphQL,3376.985999988392,20865,1,4957,4956.0,1.0,1.0,2025-11-27T17:14:35Z,success,
avelino/awesome-go,GraphQL,5429.148700000951,14136,1,4956,4955.0,1.0,1.0,2025-11-27T17:14:35Z,success,
Chalarangelo/30-seconds-of-code,REST,10435.696800035657,301076,6,4663,4658.0,5.0,,1764263675,success,
practical-tutorials/project-based-learning,GraphQL,2324.8850000090897,21289,1,4955,4954.0,1.0,1.0,2025-11-27T17:14:35Z,success,
AUTOMATIC1111/stable-diffusion-webui,GraphQL,2373.9815000153612,25555,1,4954,4953.0,1.0,1.0,2025-11-27T17:14:35Z,success,
