repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
yt-dlp/yt-dlp,REST,24025.68390002125,1921174,16,4159,4144.0,15.0,,1764271296,success,
fatedier/frp,GraphQL,2337.323700019624,18294,1,4908,4907.0,1.0,1.0,2025-11-27T19:06:50Z,success,
facebook/react,REST,22174.452400009613,1640063,16,4144,4129.0,15.0,,1764271296,success,
torvalds/linux,REST,6792.537200031802,247358,6,4129,,,,1764271296,error,403 Client Error: Forbidden for url: https://api.github.com/repos/torvalds/linux/contributors?per_page=20&page=1
sindresorhus/awesome,GraphQL,2629.4070000003558,15249,1,4907,4906.0,1.0,1.0,2025-11-27T19:06:50Z,success,
rust-lang/rust,REST,24776.670899998862,1746363,16,4124,4109.0,15.0,,1764271296,success,
nodejs/node,REST,24630.256800010102,1683424,16,4109,4094.0,15.0,,1764271296,success,
Snailclimb/JavaGuide,REST,9533.190000016475,491532,7,4094,4088.0,6.0,,1764271296,success,
EbookFoundation/free-programming-books,REST,20984.903800010215,1756724,16,4088,4073.0,15.0,,1764271296,success,
AUTOMATIC1111/stable-diffusion-webui,REST,21552.534600021318,2078519,16,4073,4058.0,15.0,,1764271296,success,
jlevy/the-art-of-command-line,REST,21089.470200036885,1413893,16,4058,4043.0,15.0,,1764271296,success,
donnemartin/system-design-primer,GraphQL,2689.2158999980893,23732,1,4906,4905.0,1.0,1.0,2025-11-27T19:06:50Z,success,
microsoft/terminal,REST,23295.64020005637,1593091,16,4043,4028.0,15.0,,1764271296,success,
kamranahmedse/developer-roadmap,REST,9107.221699989168,546743,7,4028,4022.0,6.0,,1764271296,success,
kubernetes/kubernetes,REST,27025.386699970113,2237441,16,4022,4007.0,15.0,,1764271296,success,
GrowingGit/GitHub-Chinese-Top-Charts,REST,20233.482300012838,547134,15,4007,3993.0,14.0,,1764271296,success,
facebook/react,GraphQL,2943.5065999859944,28482,1,4905,4904.0,1.0,1.0,2025-11-27T19:06:50Z,success,
tensorflow/tensorflow,GraphQL,3031.4619000128005,28923,1,4904,4903.0,1.0,1.0,2025-11-27T19:06:50Z,success,
donnemartin/system-design-primer,REST,21627.2878999589,1538521,16,3993,3978.0,15.0,,1764271296,success,
twbs/bootstrap,GraphQL,2083.1047000247054,26605,1,4903,4902.0,1.0,1.0,2025-11-27T19:06:50Z,success,
langgenius/dify,REST,23819.317399989814,1750960,16,3978,3963.0,15.0,,1764271296,success,
CyC2018/CS-Notes,REST,22378.06029993226,1277249,16,3963,3948.0,15.0,,1764271296,success,
public-apis/public-apis,GraphQL,2231.654399976833,15147,1,4902,4901.0,1.0,1.0,2025-11-27T19:06:50Z,success,
kubernetes/kubernetes,GraphQL,3298.1559000036214,29781,1,4901,4900.0,1.0,1.0,2025-11-27T19:06:50Z,success,
tensorflow/tensorflow,REST,23017.18309998978,1498608,16,3948,3933.0,15.0,,1764271296,success,
Chalarangelo/30-seconds-of-code,GraphQL,1870.1964999781922,11065,1,4900,4899.0,1.0,1.0,2025-11-27T19:06:50Z,success,
krahets/hello-algo,GraphQL,2402.086000016425,15019,1,4899,4898.0,1.0,1.0,2025-11-27T19:06:50Z,success,
huggingface/transformers,REST,22920.042899961118,1766834,16,3933,3918.0,15.0,,1764271296,success,
microsoft/PowerToys,REST,23928.02369990386,2007741,16,3918,3903.0,15.0,,1764271296,success,
jwasham/coding-interview-university,GraphQL,2317.5842000055127,21666,1,4898,4897.0,1.0,1.0,2025-11-27T19:06:50Z,success,
goldbergyoni/nodebestpractices,REST,21525.24820007966,1158991,16,3903,3888.0,15.0,,1764271296,success,
axios/axios,REST,25475.067599967588,1740106,16,3888,3873.0,15.0,,1764271296,success,
getify/You-Dont-Know-JS,GraphQL,1807.7599999960512,10091,1,4897,4896.0,1.0,1.0,2025-11-27T19:06:50Z,success,
trimstray/the-book-of-secret-knowledge,GraphQL,2414.3514999886975,14595,1,4896,4895.0,1.0,1.0,2025-11-27T19:06:50Z,success,
CyC2018/CS-Notes,GraphQL,2674.7620000096504,21533,1,4895,4894.0,1.0,1.0,2025-11-27T19:06:50Z,success,
ollama/ollama,GraphQL,2993.44230000861,25534,1,4894,4893.0,1.0,1.0,2025-11-27T19:06:50Z,success,
jackfrued/Python-100-Days,REST,29265.480800007936,1325021,16,3873,3858.0,15.0,,1764271296,success,
n8n-io/n8n,GraphQL,2975.345799990464,28960,1,4893,4892.0,1.0,1.0,2025-11-27T19:06:50Z,success,
shadcn-ui/ui,GraphQL,2523.2018000097014,24776,1,4892,4891.0,1.0,1.0,2025-11-27T19:06:50Z,success,
mrdoob/three.js,REST,21187.930299987784,1521570,16,3858,3843.0,15.0,,1764271296,success,
trekhleb/javascript-algorithms,REST,21455.42909996584,1486649,16,3843,3828.0,15.0,,1764271296,success,
facebook/react-native,GraphQL,2467.1402999956626,29793,1,4891,4890.0,1.0,1.0,2025-11-27T19:06:50Z,success,
vuejs/vue,REST,22679.85860008048,1469237,16,3828,3813.0,15.0,,1764271296,success,
DigitalPlatDev/FreeDomain,GraphQL,2034.5223999756854,10874,1,4890,4889.0,1.0,1.0,2025-11-27T19:06:50Z,success,
trekhleb/javascript-algorithms,GraphQL,1853.817600000184,23270,1,4889,4888.0,1.0,1.0,2025-11-27T19:06:50Z,success,
TheAlgorithms/Python,REST,26021.983100072248,1640063,16,3813,3798.0,15.0,,1764271296,success,
golang/go,GraphQL,2469.9178999871947,26001,1,5000,4999.0,1.0,1.0,2025-11-27T20:07:12Z,success,
vinta/awesome-python,GraphQL,1905.5906999856234,12007,1,4999,4998.0,1.0,1.0,2025-11-27T20:07:12Z,success,
golang/go,REST,20615.157399966847,1511527,16,3798,3783.0,15.0,,1764271296,success,
excalidraw/excalidraw,GraphQL,2490.021399979014,24026,1,4998,4997.0,1.0,1.0,2025-11-27T20:07:12Z,success,
awesome-selfhosted/awesome-selfhosted,REST,7315.1544999855105,251586,6,3783,3778.0,5.0,,1764271296,success,
microsoft/terminal,GraphQL,2483.9397000032477,29781,1,4997,4996.0,1.0,1.0,2025-11-27T20:07:12Z,success,
flutter/flutter,REST,25366.651700082002,1972081,16,3778,3763.0,15.0,,1764271296,success,
torvalds/linux,GraphQL,2838.1527999881655,10716,1,4996,4995.0,1.0,1.0,2025-11-27T20:07:12Z,success,
airbnb/javascript,GraphQL,2835.0308000226505,24781,1,4995,4994.0,1.0,1.0,2025-11-27T20:07:12Z,success,
521xueweihan/HelloGitHub,REST,9490.76690003858,676672,7,3763,3757.0,6.0,,1764271296,success,
ripienaar/free-for-dev,GraphQL,2020.3546999837272,10810,1,4994,4993.0,1.0,1.0,2025-11-27T20:07:12Z,success,
ossu/computer-science,REST,15740.323099948,489440,12,3757,3746.0,11.0,,1764271296,success,
denoland/deno,REST,22693.96959998994,1555794,16,3746,3731.0,15.0,,1764271296,success,
axios/axios,GraphQL,2497.643100010464,25015,1,4993,4992.0,1.0,1.0,2025-11-27T20:07:12Z,success,
microsoft/vscode,GraphQL,3317.362999980105,26195,1,4992,4991.0,1.0,1.0,2025-11-27T20:07:12Z,success,
microsoft/generative-ai-for-beginners,REST,16170.649799983948,587317,12,3731,3720.0,11.0,,1764271296,success,
electron/electron,REST,25181.88400004874,1798734,16,3720,3705.0,15.0,,1764271296,success,
jlevy/the-art-of-command-line,GraphQL,2148.8746000104584,21659,1,4991,4990.0,1.0,1.0,2025-11-27T20:07:12Z,success,
d3/d3,REST,21481.059400044614,606161,16,3705,3690.0,15.0,,1764271296,success,
f/awesome-chatgpt-prompts,GraphQL,1981.2280999904033,12131,1,4990,4989.0,1.0,1.0,2025-11-27T20:07:12Z,success,
avelino/awesome-go,GraphQL,2618.6616999912076,14136,1,4989,4988.0,1.0,1.0,2025-11-27T20:07:12Z,success,
d3/d3,GraphQL,1973.164099996211,13927,1,4988,4987.0,1.0,1.0,2025-11-27T20:07:12Z,success,
