repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
vinta/awesome-python,REST,8674.83880000509,1475866,16,4884,4869.0,15.0,,1764640407,success,
Snailclimb/JavaGuide,GraphQL,1335.1850999970338,22876,1,4998,4997.0,1.0,1.0,2025-12-02T02:17:18Z,success,
angular/angular,REST,9214.981599994644,1765065,16,4869,4854.0,15.0,,1764640407,success,
airbnb/javascript,GraphQL,1514.1912000035518,24781,1,4997,4996.0,1.0,1.0,2025-12-02T02:17:18Z,success,
facebook/create-react-app,REST,9107.333700019808,1576139,16,4854,4839.0,15.0,,1764640407,success,
rustdesk/rustdesk,GraphQL,1741.9900000022608,25395,1,4996,4995.0,1.0,1.0,2025-12-02T02:17:18Z,success,
tensorflow/tensorflow,REST,7972.593200014671,1568858,16,4839,4824.0,15.0,,1764640407,success,
996icu/996.ICU,GraphQL,1360.5038999958197,10396,1,4995,4994.0,1.0,1.0,2025-12-02T02:17:18Z,success,
ohmyzsh/ohmyzsh,REST,9473.880099983944,1685391,16,4824,4809.0,15.0,,1764640407,success,
practical-tutorials/project-based-learning,REST,9106.519199987815,1639826,16,4809,4794.0,15.0,,1764640407,success,
comfyanonymous/ComfyUI,REST,8168.036300005042,1918635,16,4794,4779.0,15.0,,1764640407,success,
kamranahmedse/developer-roadmap,REST,3623.133700006292,542116,7,4779,4773.0,6.0,,1764640407,success,
x1xhlol/system-prompts-and-models-of-ai-tools,REST,8635.514599991438,1284106,16,4773,4758.0,15.0,,1764640407,success,
excalidraw/excalidraw,GraphQL,1609.7766000020783,23900,1,4994,4993.0,1.0,1.0,2025-12-02T02:17:18Z,success,
papers-we-love/papers-we-love,GraphQL,1290.6279000017093,10727,1,4993,4992.0,1.0,1.0,2025-12-02T02:17:18Z,success,
labuladong/fucking-algorithm,REST,2370.029200006684,242334,6,4758,4753.0,5.0,,1764640407,success,
trimstray/the-book-of-secret-knowledge,REST,10863.805400003912,1623791,16,4753,4738.0,15.0,,1764640407,success,
golang/go,GraphQL,1715.138499996101,26352,1,4992,4991.0,1.0,1.0,2025-12-02T02:17:18Z,success,
getify/You-Dont-Know-JS,GraphQL,1009.0244000020903,10091,1,4991,4990.0,1.0,1.0,2025-12-02T02:17:18Z,success,
EbookFoundation/free-programming-books,GraphQL,1547.79110000527,20815,1,4990,4989.0,1.0,1.0,2025-12-02T02:17:18Z,success,
nodejs/node,GraphQL,2534.489099998609,25857,1,4989,4988.0,1.0,1.0,2025-12-02T02:17:18Z,success,
goldbergyoni/nodebestpractices,REST,8928.8455999922,1157687,16,4738,4723.0,15.0,,1764640407,success,
massgravel/Microsoft-Activation-Scripts,GraphQL,788.2219999955851,9456,1,4988,4987.0,1.0,1.0,2025-12-02T02:17:18Z,success,
ollama/ollama,REST,8589.241799993033,1641896,16,4723,4708.0,15.0,,1764640407,success,
mtdvio/every-programmer-should-know,REST,7200.38589998876,487881,14,4708,4695.0,13.0,,1764640407,success,
jlevy/the-art-of-command-line,GraphQL,1471.855499999947,21652,1,4987,4986.0,1.0,1.0,2025-12-02T02:17:18Z,success,
axios/axios,REST,8363.431099998706,1746719,16,4695,4680.0,15.0,,1764640407,success,
denoland/deno,REST,9173.207500010903,1590455,16,4680,4665.0,15.0,,1764640407,success,
jlevy/the-art-of-command-line,REST,8730.83150000457,1413787,16,4665,4650.0,15.0,,1764640407,success,
ytdl-org/youtube-dl,REST,8904.589099991426,1636391,16,4650,4635.0,15.0,,1764640407,success,
codecrafters-io/build-your-own-x,GraphQL,1239.6222000024864,22694,1,4986,4985.0,1.0,1.0,2025-12-02T02:17:18Z,success,
yt-dlp/yt-dlp,REST,8481.447099999059,1970384,16,4635,4620.0,15.0,,1764640407,success,
angular/angular,GraphQL,1899.5637999978499,28198,1,4985,4984.0,1.0,1.0,2025-12-02T02:17:18Z,success,
