repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
Significant-Gravitas/AutoGPT,GraphQL,1717.026900005294,26988,1,4881,4880.0,1.0,1.0,2025-12-02T02:17:18Z,success,
iptv-org/iptv,REST,5020.920899987686,498636,10,4645,4636.0,9.0,,1764644693,success,
jwasham/coding-interview-university,REST,8054.877399983525,802912,16,4636,4621.0,15.0,,1764644693,success,
practical-tutorials/project-based-learning,GraphQL,1228.0038000026252,21196,1,4880,4879.0,1.0,1.0,2025-12-02T02:17:18Z,success,
nvbn/thefuck,REST,9811.866700008977,1494346,16,4621,4606.0,15.0,,1764644693,success,
awesome-selfhosted/awesome-selfhosted,REST,2437.3534000114887,251518,6,4606,4601.0,5.0,,1764644693,success,
getify/You-Dont-Know-JS,REST,3168.5061999960453,300122,8,4601,4594.0,7.0,,1764644693,success,
labuladong/fucking-algorithm,REST,2267.035000004398,242334,6,4594,4589.0,5.0,,1764644693,success,
AUTOMATIC1111/stable-diffusion-webui,REST,8424.156700006279,2070792,16,4589,4574.0,15.0,,1764644693,success,
TheAlgorithms/Python,REST,9673.163599974941,1643937,16,4574,4559.0,15.0,,1764644693,success,
pytorch/pytorch,REST,11571.90279999486,1596091,16,4559,4544.0,15.0,,1764644693,success,
torvalds/linux,REST,5543.433600003482,271708,6,4544,,,,1764644693,error,403 Client Error: Forbidden for url: https://api.github.com/repos/torvalds/linux/contributors?per_page=20&page=1
microsoft/TypeScript,REST,13302.458500002103,1735074,16,4539,4524.0,15.0,,1764644693,success,
github/gitignore,GraphQL,2637.8767999995034,11666,1,4879,4878.0,1.0,1.0,2025-12-02T02:17:18Z,success,
denoland/deno,REST,11200.842199992621,1589851,16,4524,4509.0,15.0,,1764644693,success,
CyC2018/CS-Notes,GraphQL,1741.3842999958433,21515,1,4878,4877.0,1.0,1.0,2025-12-02T02:17:18Z,success,
mtdvio/every-programmer-should-know,GraphQL,1555.9035999976913,14413,1,4877,4876.0,1.0,1.0,2025-12-02T02:17:18Z,success,
AUTOMATIC1111/stable-diffusion-webui,GraphQL,1848.584800005483,25344,1,4876,4875.0,1.0,1.0,2025-12-02T02:17:18Z,success,
996icu/996.ICU,GraphQL,2699.481799994828,10396,1,4875,4874.0,1.0,1.0,2025-12-02T02:17:18Z,success,
ollama/ollama,REST,14219.234300006065,1644601,16,4509,4494.0,15.0,,1764644693,success,
Genymobile/scrcpy,REST,10639.021400005731,1408546,16,4494,4479.0,15.0,,1764644693,success,
papers-we-love/papers-we-love,REST,3846.674799999164,287662,6,4479,4474.0,5.0,,1764644693,success,
neovim/neovim,REST,14465.507299981255,1568277,16,4474,4459.0,15.0,,1764644693,success,
d3/d3,REST,20716.178499998932,592117,16,4459,4444.0,15.0,,1764644693,success,
deepseek-ai/DeepSeek-R1,REST,10071.461300001829,728825,16,4444,4429.0,15.0,,1764644693,success,
microsoft/terminal,GraphQL,1856.3388000038685,29310,1,4874,4873.0,1.0,1.0,2025-12-02T02:17:18Z,success,
avelino/awesome-go,REST,14813.588799996069,1748718,16,4429,4414.0,15.0,,1764644693,success,
rust-lang/rust,GraphQL,2773.1549000018276,31177,1,4873,4872.0,1.0,1.0,2025-12-02T02:17:18Z,success,
microsoft/PowerToys,GraphQL,2940.155999996932,27906,1,4872,4871.0,1.0,1.0,2025-12-02T02:17:18Z,success,
microsoft/generative-ai-for-beginners,REST,13434.7737999924,626469,13,4414,4402.0,12.0,,1764644693,success,
microsoft/TypeScript,GraphQL,1701.1568000016268,28645,1,4871,4870.0,1.0,1.0,2025-12-02T02:17:18Z,success,
vinta/awesome-python,GraphQL,1419.8095000028843,12219,1,4870,4869.0,1.0,1.0,2025-12-02T02:17:18Z,success,
ossu/computer-science,GraphQL,1538.5870999962208,15474,1,4869,4868.0,1.0,1.0,2025-12-02T02:17:18Z,success,
jlevy/the-art-of-command-line,REST,13825.541100006376,1413787,16,4402,4387.0,15.0,,1764644693,success,
supabase/supabase,GraphQL,3990.21360000188,29813,1,4868,4867.0,1.0,1.0,2025-12-02T02:17:18Z,success,
ripienaar/free-for-dev,GraphQL,1437.8948000012315,10761,1,4867,4866.0,1.0,1.0,2025-12-02T02:17:18Z,success,
mui/material-ui,REST,13031.470400004764,2068192,16,4387,4372.0,15.0,,1764644693,success,
Snailclimb/JavaGuide,GraphQL,1378.8108000007924,22789,1,4866,4865.0,1.0,1.0,2025-12-02T02:17:18Z,success,
yt-dlp/yt-dlp,GraphQL,2050.21719999786,26194,1,4865,4864.0,1.0,1.0,2025-12-02T02:17:18Z,success,
facebook/create-react-app,GraphQL,2030.7459000032395,24531,1,5000,4999.0,1.0,1.0,2025-12-02T03:17:21Z,success,
deepseek-ai/DeepSeek-R1,GraphQL,1537.291799999366,10128,1,4999,4998.0,1.0,1.0,2025-12-02T03:17:21Z,success,
ripienaar/free-for-dev,REST,6163.9575000081095,403764,11,4372,4362.0,10.0,,1764644693,success,
ytdl-org/youtube-dl,GraphQL,1724.6446999997715,23361,1,4998,4997.0,1.0,1.0,2025-12-02T03:17:21Z,success,
donnemartin/system-design-primer,GraphQL,2005.8910999941872,23782,1,4997,4996.0,1.0,1.0,2025-12-02T03:17:21Z,success,
microsoft/Web-Dev-For-Beginners,GraphQL,2381.7908999990323,18022,1,4996,4995.0,1.0,1.0,2025-12-02T03:17:21Z,success,
ossu/computer-science,REST,8192.250799991598,489418,12,4362,4351.0,11.0,,1764644693,success,
denoland/deno,GraphQL,1970.4264999963925,25164,1,4995,4994.0,1.0,1.0,2025-12-02T03:17:21Z,success,
golang/go,GraphQL,1785.397899999225,26352,1,4994,4993.0,1.0,1.0,2025-12-02T03:17:21Z,success,
microsoft/terminal,REST,11548.191000008956,1608166,16,4351,4336.0,15.0,,1764644693,success,
Anduin2017/HowToCook,GraphQL,1536.7294999959995,22819,1,4993,4992.0,1.0,1.0,2025-12-02T03:17:21Z,success,
avelino/awesome-go,GraphQL,1758.9420999938739,14478,1,4992,4991.0,1.0,1.0,2025-12-02T03:17:21Z,success,
fatedier/frp,GraphQL,2131.241000002774,18336,1,4991,4990.0,1.0,1.0,2025-12-02T03:17:21Z,success,
microsoft/vscode,GraphQL,2772.297299998172,26805,1,4990,4989.0,1.0,1.0,2025-12-02T03:17:21Z,success,
deepseek-ai/DeepSeek-V3,REST,12217.209399997955,1228766,16,4336,4321.0,15.0,,1764644693,success,
trekhleb/javascript-algorithms,GraphQL,2170.194899998023,23270,1,4989,4988.0,1.0,1.0,2025-12-02T03:17:21Z,success,
torvalds/linux,GraphQL,2723.446400006651,10600,1,4988,4987.0,1.0,1.0,2025-12-02T03:17:21Z,success,
jlevy/the-art-of-command-line,GraphQL,1334.4366000019363,21652,1,4987,4986.0,1.0,1.0,2025-12-02T03:17:21Z,success,
vercel/next.js,GraphQL,2055.0619999994524,27666,1,4986,4985.0,1.0,1.0,2025-12-02T03:17:21Z,success,
trekhleb/javascript-algorithms,REST,13522.942400020838,1486627,16,4321,4306.0,15.0,,1764644693,success,
mtdvio/every-programmer-should-know,REST,7236.184300003515,487881,14,4306,4293.0,13.0,,1764644693,success,
facebook/react,REST,9290.659199999936,1650384,16,4293,4278.0,15.0,,1764644693,success,
521xueweihan/HelloGitHub,GraphQL,1074.2979999995441,23224,1,4985,4984.0,1.0,1.0,2025-12-02T03:17:21Z,success,
getify/You-Dont-Know-JS,GraphQL,1894.5335000025807,10091,1,4984,4983.0,1.0,1.0,2025-12-02T03:17:21Z,success,
Hack-with-Github/Awesome-Hacking,REST,8987.617999999202,585470,16,4278,4263.0,15.0,,1764644693,success,
mui/material-ui,GraphQL,2621.707999998762,29793,1,4983,4982.0,1.0,1.0,2025-12-02T03:17:21Z,success,
microsoft/generative-ai-for-beginners,GraphQL,1816.2849000000278,13698,1,4982,4981.0,1.0,1.0,2025-12-02T03:17:21Z,success,
tauri-apps/tauri,GraphQL,2825.414799997816,29648,1,4981,4980.0,1.0,1.0,2025-12-02T03:17:21Z,success,
axios/axios,REST,10326.485200006573,1746719,16,4263,4248.0,15.0,,1764644693,success,
iluwatar/java-design-patterns,REST,8620.95219999901,1648133,16,4248,4233.0,15.0,,1764644693,success,
996icu/996.ICU,REST,7761.924699989322,327644,10,4233,4224.0,9.0,,1764644693,success,
microsoft/PowerToys,REST,11245.264000004681,2011814,16,4224,4209.0,15.0,,1764644693,success,
github/gitignore,REST,9472.049800016975,1520017,16,4209,4194.0,15.0,,1764644693,success,
freeCodeCamp/freeCodeCamp,REST,9754.650199989555,1730849,16,4194,4179.0,15.0,,1764644693,success,
DigitalPlatDev/FreeDomain,GraphQL,1456.0335999995004,10874,1,4980,4979.0,1.0,1.0,2025-12-02T03:17:21Z,success,
n8n-io/n8n,REST,9829.36259998678,1796436,16,4179,4164.0,15.0,,1764644693,success,
Significant-Gravitas/AutoGPT,REST,9740.786899979867,2573153,16,4164,4149.0,15.0,,1764644693,success,
microsoft/Web-Dev-For-Beginners,REST,9268.901700015704,2071179,16,4149,4134.0,15.0,,1764644693,success,
vuejs/vue,GraphQL,1637.9563000009512,24104,1,4979,4978.0,1.0,1.0,2025-12-02T03:17:21Z,success,
Chalarangelo/30-seconds-of-code,REST,2492.519199993694,301054,6,4134,4129.0,5.0,,1764644693,success,
huggingface/transformers,REST,9068.625399981102,1749297,16,4129,4114.0,15.0,,1764644693,success,
x1xhlol/system-prompts-and-models-of-ai-tools,GraphQL,1168.9603000049829,22125,1,4978,4977.0,1.0,1.0,2025-12-02T03:17:21Z,success,
justjavac/free-programming-books-zh_CN,REST,8213.374099999783,890620,16,4114,4099.0,15.0,,1764644693,success,
massgravel/Microsoft-Activation-Scripts,REST,2444.296100002248,231765,6,4099,4094.0,5.0,,1764644693,success,
f/awesome-chatgpt-prompts,GraphQL,1132.4635999990278,12584,1,4977,4976.0,1.0,1.0,2025-12-02T03:17:21Z,success,
facebook/create-react-app,REST,8834.000800001377,1576139,16,4094,4079.0,15.0,,1764644693,success,
jaywcjlove/awesome-mac,GraphQL,2326.748500003305,22274,1,4976,4975.0,1.0,1.0,2025-12-02T03:17:21Z,success,
fastapi/fastapi,GraphQL,1399.441299996397,23094,1,4975,4974.0,1.0,1.0,2025-12-02T03:17:21Z,success,
Snailclimb/JavaGuide,REST,4122.056900021562,492626,7,4079,4073.0,6.0,,1764644693,success,
yangshun/tech-interview-handbook,REST,7789.056499990693,664977,16,4073,4058.0,15.0,,1764644693,success,
Chalarangelo/30-seconds-of-code,GraphQL,1142.3141999985091,11065,1,4974,4973.0,1.0,1.0,2025-12-02T03:17:21Z,success,
deepseek-ai/DeepSeek-V3,GraphQL,1276.5756999942823,16168,1,4973,4972.0,1.0,1.0,2025-12-02T03:17:21Z,success,
public-apis/public-apis,REST,8749.49149999884,1511517,16,4058,4043.0,15.0,,1764644693,success,
ryanmcdermott/clean-code-javascript,REST,8657.994300003338,1107121,16,4043,4028.0,15.0,,1764644693,success,
open-webui/open-webui,REST,8363.313399997423,1942293,16,4028,4013.0,15.0,,1764644693,success,
fatedier/frp,REST,3376.7127999963122,470602,7,4013,4007.0,6.0,,1764644693,success,
ohmyzsh/ohmyzsh,GraphQL,1747.8656000021147,26560,1,4972,4971.0,1.0,1.0,2025-12-02T03:17:21Z,success,
freeCodeCamp/freeCodeCamp,GraphQL,2444.3566000045394,27929,1,4971,4970.0,1.0,1.0,2025-12-02T03:17:21Z,success,
shadcn-ui/ui,GraphQL,1627.9919000007794,24767,1,4970,4969.0,1.0,1.0,2025-12-02T03:17:21Z,success,
langflow-ai/langflow,REST,8543.614899987006,2522050,16,4007,3992.0,15.0,,1764644693,success,
x1xhlol/system-prompts-and-models-of-ai-tools,REST,8568.737400026293,1284106,16,3992,3977.0,15.0,,1764644693,success,
ryanmcdermott/clean-code-javascript,GraphQL,1519.2817999995896,22083,1,4969,4968.0,1.0,1.0,2025-12-02T03:17:21Z,success,
yt-dlp/yt-dlp,REST,8488.020999990113,1974468,16,3977,3962.0,15.0,,1764644693,success,
microsoft/vscode,REST,11247.09170001006,1922537,16,3962,3947.0,15.0,,1764644693,success,
vercel/next.js,REST,8775.00190000137,1613770,16,3947,3932.0,15.0,,1764644693,success,
twbs/bootstrap,REST,9083.448599994881,1730191,16,3932,3917.0,15.0,,1764644693,success,
public-apis/public-apis,GraphQL,1404.8455000011018,15400,1,4968,4967.0,1.0,1.0,2025-12-02T03:17:21Z,success,
facebook/react-native,REST,8654.917699997895,1681155,16,3917,3902.0,15.0,,1764644693,success,
vinta/awesome-python,REST,9086.201099999016,1475866,16,3902,3887.0,15.0,,1764644693,success,
godotengine/godot,REST,9072.316500009038,1733136,16,3887,3872.0,15.0,,1764644693,success,
pytorch/pytorch,GraphQL,2919.2687000031583,28783,1,4967,4966.0,1.0,1.0,2025-12-02T03:17:21Z,success,
excalidraw/excalidraw,GraphQL,1765.5918999953428,23914,1,4966,4965.0,1.0,1.0,2025-12-02T03:17:21Z,success,
comfyanonymous/ComfyUI,REST,8425.998000013351,1923572,16,3872,3857.0,15.0,,1764644693,success,
golang/go,REST,8957.307599994238,1503966,16,3857,3842.0,15.0,,1764644693,success,
trimstray/the-book-of-secret-knowledge,REST,9371.572100018966,1623791,16,3842,3827.0,15.0,,1764644693,success,
neovim/neovim,GraphQL,1953.5821999961627,25854,1,4965,4964.0,1.0,1.0,2025-12-02T03:17:21Z,success,
mrdoob/three.js,REST,8830.069699994056,1532991,16,3827,3812.0,15.0,,1764644693,success,
ant-design/ant-design,GraphQL,1734.8907999985386,25829,1,4964,4963.0,1.0,1.0,2025-12-02T03:17:21Z,success,
flutter/flutter,GraphQL,2137.1121000047424,32337,1,4963,4962.0,1.0,1.0,2025-12-02T03:17:21Z,success,
excalidraw/excalidraw,REST,9084.021899980144,1641062,16,3812,3797.0,15.0,,1764644693,success,
kubernetes/kubernetes,REST,9050.180799989903,2218446,16,3797,3782.0,15.0,,1764644693,success,
comfyanonymous/ComfyUI,GraphQL,1279.8152000032132,26457,1,4962,4961.0,1.0,1.0,2025-12-02T03:17:21Z,success,
krahets/hello-algo,GraphQL,1738.6478999978863,15193,1,4961,4960.0,1.0,1.0,2025-12-02T03:17:21Z,success,
angular/angular,GraphQL,1517.0001000005868,28158,1,4960,4959.0,1.0,1.0,2025-12-02T03:17:21Z,success,
iptv-org/iptv,GraphQL,1123.690100001113,23075,1,4959,4958.0,1.0,1.0,2025-12-02T03:17:21Z,success,
kamranahmedse/developer-roadmap,GraphQL,2110.4167999947094,25090,1,4958,4957.0,1.0,1.0,2025-12-02T03:17:21Z,success,
nvbn/thefuck,GraphQL,1471.9491999931051,23421,1,4957,4956.0,1.0,1.0,2025-12-02T03:17:21Z,success,
iluwatar/java-design-patterns,GraphQL,1342.6480000052834,26747,1,4956,4955.0,1.0,1.0,2025-12-02T03:17:21Z,success,
trimstray/the-book-of-secret-knowledge,GraphQL,1374.1955000004964,14351,1,4955,4954.0,1.0,1.0,2025-12-02T03:17:21Z,success,
nodejs/node,REST,10777.27730001061,1705101,16,3782,3767.0,15.0,,1764644693,success,
ohmyzsh/ohmyzsh,REST,8954.753800004255,1685391,16,3767,3752.0,15.0,,1764644693,success,
shadcn-ui/ui,REST,8787.47990001284,1491330,16,3752,3737.0,15.0,,1764644693,success,
open-webui/open-webui,GraphQL,1348.5854999962612,25431,1,4954,4953.0,1.0,1.0,2025-12-02T03:17:21Z,success,
puppeteer/puppeteer,GraphQL,1676.9338000012795,28507,1,4953,4952.0,1.0,1.0,2025-12-02T03:17:21Z,success,
airbnb/javascript,GraphQL,1593.493500004115,24781,1,4952,4951.0,1.0,1.0,2025-12-02T03:17:21Z,success,
godotengine/godot,GraphQL,1649.8950000022887,28266,1,4951,4950.0,1.0,1.0,2025-12-02T03:17:21Z,success,
langgenius/dify,GraphQL,1750.0169000049937,27580,1,4950,4949.0,1.0,1.0,2025-12-02T03:17:21Z,success,
tauri-apps/tauri,REST,9372.712199998205,1790080,16,3737,3722.0,15.0,,1764644693,success,
angular/angular,REST,9974.564700009068,1765818,16,3722,3707.0,15.0,,1764644693,success,
practical-tutorials/project-based-learning,REST,9513.034299983701,1639826,16,3707,3692.0,15.0,,1764644693,success,
CyC2018/CS-Notes,REST,8562.795099976938,1277068,16,3692,3677.0,15.0,,1764644693,success,
tensorflow/tensorflow,REST,7910.8498000205145,1561863,16,3677,3662.0,15.0,,1764644693,success,
langflow-ai/langflow,GraphQL,1485.5582999953185,25849,1,4949,4948.0,1.0,1.0,2025-12-02T03:17:21Z,success,
labuladong/fucking-algorithm,GraphQL,854.0330999967409,10032,1,4948,4947.0,1.0,1.0,2025-12-02T03:17:21Z,success,
yangshun/tech-interview-handbook,GraphQL,1680.316899997706,20012,1,4947,4946.0,1.0,1.0,2025-12-02T03:17:21Z,success,
langgenius/dify,REST,9554.15820000053,1872180,16,3662,3647.0,15.0,,1764644693,success,
521xueweihan/HelloGitHub,REST,3973.278700002993,674682,7,3647,3641.0,6.0,,1764644693,success,
GrowingGit/GitHub-Chinese-Top-Charts,REST,6629.23409997893,547112,15,3641,3627.0,14.0,,1764644693,success,
tensorflow/tensorflow,GraphQL,2042.1312999969814,29646,1,4946,4945.0,1.0,1.0,2025-12-02T03:17:21Z,success,
mrdoob/three.js,GraphQL,1630.3919999991194,24983,1,4945,4944.0,1.0,1.0,2025-12-02T03:17:21Z,success,
