repo,api_type,response_time_ms,response_size_bytes,num_requests,rate_limit_before,rate_limit_after,rate_limit_consumed,rate_limit_cost,rate_limit_reset_at,status,error_message
jwasham/coding-interview-university,GraphQL,1595.6694999986212,21662,1,4908,4907.0,1.0,1.0,2025-12-02T02:17:18Z,success,
TheAlgorithms/Python,GraphQL,1803.4702000004472,27177,1,4907,4906.0,1.0,1.0,2025-12-02T02:17:18Z,success,
sindresorhus/awesome,GraphQL,1745.1351999989129,15383,1,4906,4905.0,1.0,1.0,2025-12-02T02:17:18Z,success,
ant-design/ant-design,REST,8923.94810001133,1875907,16,4994,4979.0,15.0,,1764644693,success,
facebook/react,GraphQL,1414.7191000010935,28658,1,4905,4904.0,1.0,1.0,2025-12-02T02:17:18Z,success,
donnemartin/system-design-primer,REST,9443.505400013237,1541621,16,4979,4964.0,15.0,,1764644693,success,
ollama/ollama,GraphQL,1770.4869999943185,25085,1,4904,4903.0,1.0,1.0,2025-12-02T02:17:18Z,success,
Anduin2017/HowToCook,REST,7736.953599982371,588688,15,4962,4948.0,14.0,,1764644693,success,
facebook/react-native,GraphQL,1610.4477000044426,29710,1,4903,4902.0,1.0,1.0,2025-12-02T02:17:18Z,success,
kubernetes/kubernetes,GraphQL,2145.6146000055014,29869,1,4902,4901.0,1.0,1.0,2025-12-02T02:17:18Z,success,
DigitalPlatDev/FreeDomain,REST,6066.456399996241,359129,13,4948,4936.0,12.0,,1764644693,success,
rustdesk/rustdesk,REST,8339.738300004683,1016283,16,4936,4921.0,15.0,,1764644693,success,
electron/electron,REST,9882.056100002956,1833509,16,4921,4906.0,15.0,,1764644693,success,
electron/electron,GraphQL,1673.4667999990052,31185,1,4901,4900.0,1.0,1.0,2025-12-02T02:17:18Z,success,
EbookFoundation/free-programming-books,REST,9553.706200000306,1761743,16,4906,4891.0,15.0,,1764644693,success,
flutter/flutter,REST,9973.096599969722,2052148,16,4891,4876.0,15.0,,1764644693,success,
d3/d3,GraphQL,3306.9477999961236,13885,1,4900,4899.0,1.0,1.0,2025-12-02T02:17:18Z,success,
nodejs/node,GraphQL,1874.5345999996061,25927,1,4899,4898.0,1.0,1.0,2025-12-02T02:17:18Z,success,
huggingface/transformers,GraphQL,1752.2847000000183,25974,1,4898,4897.0,1.0,1.0,2025-12-02T02:17:18Z,success,
vuejs/vue,REST,8638.319100013177,1470327,16,4876,4861.0,15.0,,1764644693,success,
codecrafters-io/build-your-own-x,GraphQL,1513.640299999679,22694,1,4897,4896.0,1.0,1.0,2025-12-02T02:17:18Z,success,
GrowingGit/GitHub-Chinese-Top-Charts,GraphQL,1021.7431999990367,22167,1,4896,4895.0,1.0,1.0,2025-12-02T02:17:18Z,success,
krahets/hello-algo,REST,8309.639800005243,636210,16,4861,4846.0,15.0,,1764644693,success,
massgravel/Microsoft-Activation-Scripts,GraphQL,845.4240999999456,9456,1,4895,4894.0,1.0,1.0,2025-12-02T02:17:18Z,success,
fastapi/fastapi,REST,8913.086600019597,1544457,16,4846,4831.0,15.0,,1764644693,success,
kamranahmedse/developer-roadmap,REST,3539.446599999792,542116,7,4831,4825.0,6.0,,1764644693,success,
twbs/bootstrap,GraphQL,1919.9516000007861,26633,1,4894,4893.0,1.0,1.0,2025-12-02T02:17:18Z,success,
n8n-io/n8n,GraphQL,1696.1369999989984,28339,1,4893,4892.0,1.0,1.0,2025-12-02T02:17:18Z,success,
jaywcjlove/awesome-mac,REST,8537.51899998315,1215946,16,4825,4810.0,15.0,,1764644693,success,
codecrafters-io/build-your-own-x,REST,8662.338400004955,1509982,16,4810,4795.0,15.0,,1764644693,success,
rust-lang/rust,REST,8961.334900006477,1789151,16,4795,4780.0,15.0,,1764644693,success,
sindresorhus/awesome,REST,9003.447100003541,1585639,16,4780,4765.0,15.0,,1764644693,success,
airbnb/javascript,REST,9250.242400012212,1416545,16,4765,4750.0,15.0,,1764644693,success,
supabase/supabase,REST,7942.327899989323,1643085,16,4750,4735.0,15.0,,1764644693,success,
rustdesk/rustdesk,GraphQL,1903.8815000021714,25411,1,4892,4891.0,1.0,1.0,2025-12-02T02:17:18Z,success,
jackfrued/Python-100-Days,GraphQL,1233.06529999536,20867,1,4891,4890.0,1.0,1.0,2025-12-02T02:17:18Z,success,
f/awesome-chatgpt-prompts,REST,8521.149400010472,1515786,16,4735,4720.0,15.0,,1764644693,success,
axios/axios,GraphQL,1483.9896999983466,25112,1,4890,4889.0,1.0,1.0,2025-12-02T02:17:18Z,success,
Hack-with-Github/Awesome-Hacking,GraphQL,1297.273900003347,14782,1,4889,4888.0,1.0,1.0,2025-12-02T02:17:18Z,success,
justjavac/free-programming-books-zh_CN,GraphQL,1539.323199998762,11735,1,4888,4887.0,1.0,1.0,2025-12-02T02:17:18Z,success,
ytdl-org/youtube-dl,REST,8422.542499989504,1636391,16,4720,4705.0,15.0,,1764644693,success,
goldbergyoni/nodebestpractices,REST,8104.417200003809,1157687,16,4705,4690.0,15.0,,1764644693,success,
Genymobile/scrcpy,GraphQL,1594.113600003766,22403,1,4887,4886.0,1.0,1.0,2025-12-02T02:17:18Z,success,
EbookFoundation/free-programming-books,GraphQL,1604.2316000020946,20815,1,4886,4885.0,1.0,1.0,2025-12-02T02:17:18Z,success,
awesome-selfhosted/awesome-selfhosted,GraphQL,1090.0410000031115,9760,1,4885,4884.0,1.0,1.0,2025-12-02T02:17:18Z,success,
papers-we-love/papers-we-love,GraphQL,1724.269699996512,10727,1,4884,4883.0,1.0,1.0,2025-12-02T02:17:18Z,success,
goldbergyoni/nodebestpractices,GraphQL,2914.548599997943,19900,1,4883,4882.0,1.0,1.0,2025-12-02T02:17:18Z,success,
langchain-ai/langchain,REST,8093.408700005966,1854152,16,4690,4675.0,15.0,,1764644693,success,
puppeteer/puppeteer,REST,8642.95419996779,1241360,16,4675,4660.0,15.0,,1764644693,success,
jackfrued/Python-100-Days,REST,8253.524800005835,1324999,16,4660,4645.0,15.0,,1764644693,success,
langchain-ai/langchain,GraphQL,1679.5345999998972,27868,1,4882,4881.0,1.0,1.0,2025-12-02T02:17:18Z,success,
